,Lg,Tm,W,L,Finish, ,Age,Ht.,Wt., ,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
34,NBA,NJN,24,58,4,,26.2,6-7,209,,82,19855,3374,7083,.476,145,449,.323,3229,6634,.487,2000,2607,.767,1169,2409,3578,1991,643,397,1617,2353,8893
35,NBA,NJN,39,43,4,,27.5,6-6,206,,82,19805,3548,7301,.486,43,214,.201,3505,7087,.495,1810,2396,.755,1183,2483,3666,2128,749,345,1575,2129,8949
36,NBA,NJN,42,40,3,,26.5,6-6,207,,82,19755,3646,7445,.490,52,224,.232,3594,7221,.498,1631,2237,.729,1233,2325,3558,2163,772,415,1355,2011,8975
37,NBA,NJN,45,37,4,,25.5,6-6,206,,82,19805,3614,7258,.498,49,232,.211,3565,7026,.507,1742,2488,.700,1221,2313,3534,2148,814,499,1608,2243,9019
38,NBA,NJN,49,33,3,,25.2,6-6,204,,82,19705,3510,7140,.492,30,149,.201,3480,6991,.498,1622,2301,.705,1266,2427,3693,2143,911,592,1873,2166,8672
39,NBA,NJN,44,38,3,,25.1,6-5,202,,82,19780,3501,7227,.484,30,146,.205,3471,7081,.490,1714,2354,.728,1194,2320,3514,2096,918,481,1650,2295,8746
40,NBA,NJN,24,58,5,,25.2,6-6,205,,82,19805,3477,7314,.475,34,138,.246,3443,7176,.480,1780,2371,.751,1092,2374,3466,2068,750,458,1664,2204,8768
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NBA,NJN,34,48,5,,26.1,6-6,201,,82,19805,3456,7504,.461,85,298,.285,3371,7206,.468,1882,2406,.782,1229,2535,3764,2094,869,581,1702,2181,8879
43,NBA,NJN,37,45,3,,25.7,6-5,198,,82,19755,3464,7523,.460,,,,3464,7523,.460,1904,2613,.729,1241,2370,3611,1907,853,619,1861,2329,8832
44,NBA,NJN,24,58,5,,25.5,6-6,199,,82,19905,3547,8004,.443,,,,3547,8004,.443,1652,2304,.717,1306,2595,3901,1879,857,631,1774,2312,8746
45,NBA,NYN,22,60,5,,25.8,6-6,202,,82,19730,3096,7222,.429,,,,3096,7222,.429,1673,2274,.736,1157,2547,3704,1422,802,435,1630,2178,7865
46,ABA,NYA,55,29,2,,25.4,6-5,203,,84,20385,3752,8148,.460,111,372,.298,3641,7776,.468,1775,2333,.761,1493,2750,4243,1817,913,522,1529,2209,9390
47,ABA,NYA,58,26,2,,24.5,6-5,201,,84,20385,3879,7943,.488,69,252,.274,3810,7691,.495,1501,1929,.778,1214,2776,3990,2007,917,516,1402,1947,9328
48,ABA,NYA,55,29,1,,23.4,6-5,200,,84,20285,3855,8038,.480,81,256,.316,3774,7782,.485,1397,1852,.754,1334,2772,4106,2025,828,568,1612,1979,9188
49,ABA,NYA,30,54,4,,25.1,6-5,202,,84,20210,3400,7073,.481,49,174,.282,3351,6899,.486,1851,2513,.737,1161,2673,3834,1899,,,1696,2112,8700
50,ABA,NYA,44,40,3,,25.1,6-5,200,,84,20435,3697,7698,.480,92,318,.289,3605,7380,.488,1990,2589,.769,1284,2871,4155,1842,,,1655,2065,9476
51,ABA,NYA,40,44,3,,24.5,6-5,200,,84,20260,3638,7704,.472,38,170,.224,3600,7534,.478,2013,2653,.759,1330,2779,4109,1877,,,1782,2203,9327
52,ABA,NYA,39,45,4,,25.9,6-5,197,,84,20335,3543,7854,.451,70,282,.248,3473,7572,.459,1990,2826,.704,1609,2547,4156,1762,,,1714,2381,9146
53,ABA,NYA,17,61,5,,25.8,6-4,205,,78,18870,3148,7563,.416,77,264,.292,3071,7299,.421,2090,2816,.742,1459,2576,4035,1409,,,1537,2260,8463
54,ABA,NJA,36,42,5,,23.0,6-5,203,,78,18745,3189,7727,.413,125,456,.274,3064,7271,.421,2138,2876,.743,,,4075,1200,,,1231,2051,8641
